UGC_TribalVeda_V13_R6_April'26
Based on Concept V13: Jamun Neem Karela Juice — Retired Couple, Diabetic, Garden Scene
Product: Jamun Neem Karela Juice (500ml) | Price: Rs 330
Product URL: https://tribalveda.in/products/jamun-neem-karela-juice

Reference
Costume: Husband — kurta or cotton shirt; Wife — cotton saree or salwar
Props: Juice bottle, two small glasses, newspaper
Shooting Location: Garden / balcony with plants, morning light

Additional Notes:
Please make sure the dialogues are spoken with confidence and clarity. Be well versed with the scripts. Couple format — dialogues alternate naturally between husband and wife.


Creative Format	Voiceover	Visuals	References
HOOK 1	(Husband) Karele ka juice ghar pe banate the — smell se poora ghar bhaagta tha	Both sitting in garden. Husband speaks, wife laughs and nods.
Hook 2	(Wife) Doctor ne bola Ayurvedic juice piyo — par itne options me sahi wala dhundhne me 6 mahine lag gaye	Wife speaks, holds juice bottle. Garden setting.
Hook 3	(Husband) Sugar manage karna mushkil nhi hai — mushkil hai sahi cheez dhundhna jo roz le sako	Husband speaks. Newspaper on lap.
Hook 4	(Wife) Jab se yeh shuru kiya hai, humara morning routine hi badal gaya hai	Both in frame, wife holds bottle, both smile.
DIALOGUE 1	(Wife) Yeh Tribalveda ka Jamun Neem Karela Juice hai — isme 50% Jamun hai, 30% Karela, plus Neem, Giloy aur Amla	Holds bottle, shows to camera. Points to label.
DIALOGUE 2	(Husband) Pehle alag alag juice laate the — ab ek bottle me sab mil jata hai	Takes bottle from wife. Talking head.
DIALOGUE 3	(Wife) 30ml roz subah khaali pet — minerals bhi fortified hain isme jo normally alag supplements se lene padte	Pours measured amount into small glass. Close-up of pouring.
DIALOGUE 4	(Husband) Taste kadwa hai — jhooth nhi bolunga. Par karele se toh better hai, aur 2 hafte me aadat ho gayi	Takes glass, drinks. Slight face, then nods.
DIALOGUE 5	(Wife) 500ml ki bottle humara 15-16 din chalti hai	Holds bottle. Talking head.
Dialogue 6	(Husband) Humari umar me discipline zaroori hai — aur yeh us discipline me fit ho jata hai bina kisi jhanjhat ke	Both in frame, relaxed. Morning walk shoes visible.
CTA	(Wife) Agar aap ya aapke ghar me koi diabetes manage kar raha hai — ek baar try karo	Both look at camera. Wife holds bottle.
